Municipio;Tipologia;Classificazione;Denominazione;Indirizzo;Singole;Doppie;Triple;Quadruple;Quintuple;Sestuple;Totale camere;Posti letto;Unita abitative;Posti letto unita abitative
Municipio I (ex Mun I);Albergo;1 Stella;ORIENTE;VIA DELLO STATUTO, 58;4;17;4;2;0;0;27;58;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ORTENSIA;VIA MAGENTA, 53;2;2;2;1;0;0;7;16;0;0
Municipio I (ex Mun I);Albergo;1 Stella;PIAZZA DI SPAGNA SUITE DE CHARME;VIA DI S. SEBASTIANELLO, 8;0;6;1;0;0;0;7;15;0;0
Municipio I (ex Mun I);Albergo;1 Stella;PICCOLO FIORE;VIA NAZIONALE, 163;2;4;1;0;0;0;7;13;0;0
Municipio I (ex Mun I);Albergo;1 Stella;QUEEN;VIA SAN MARTINO DELLA BATTAGLIA, 11;1;6;3;0;0;0;10;22;0;0
Municipio I (ex Mun I);Albergo;1 Stella;RESI;VIA GIOVANNI AMENDOLA, 77;1;9;2;0;0;0;12;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ROMAN'S;VIA MILAZZO, 3;2;8;0;0;0;0;10;18;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ROME LOVE HOTEL;PIAZZA VITTORIO EMANUELE II, 121;0;10;1;0;0;0;11;23;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ROSETTA;VIA CAVOUR, 295;3;5;2;0;0;0;10;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ROSSI;VIA RATTAZZI, 65;0;5;4;0;0;0;9;22;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ROXENA;VIA MARGHERA, 13;4;6;3;0;0;0;13;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;SALLUSTIO;VIA FLAVIA, 84;3;6;0;0;0;0;9;15;0;0
Municipio I (ex Mun I);Albergo;1 Stella;SANDRA;VIA VILLAFRANCA, 10;0;4;5;0;0;0;9;23;0;0
Municipio I (ex Mun I);Albergo;1 Stella;SANDY;VIA CAVOUR, 136;0;3;4;0;0;0;7;18;0;0
Municipio I (ex Mun I);Albergo;1 Stella;SILEO;VIA MAGENTA, 39;1;7;0;0;0;0;8;15;0;0
Municipio I (ex Mun I);Albergo;1 Stella;SOGGIORNO BLU;VIA MAGENTA, 39;0;11;0;0;0;0;11;22;0;0
Municipio I (ex Mun I);Albergo;1 Stella;SOL LEVANTE;VIA PALESTRO, 87;2;7;1;0;0;0;10;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;ST.B BOUTIQUE HOTEL;VIA DI S. BASILIO, 57;1;7;0;0;0;0;8;15;0;0
Municipio I (ex Mun I);Albergo;1 Stella;TEATROPACE 33;VIA DEL TEATRO PACE, 33;7;12;1;0;0;0;20;34;0;0
Municipio I (ex Mun I);Albergo;1 Stella;THE BEEHIVE;VIA MARGHERA, 8;2;3;1;1;0;0;7;15;0;0
