NUMERO CON;TIPO PAVIMENTAZIONE;TIPO COPERTURA;MQ;DAL GIORNO;AL GIORNO;NOTE;UBICAZIONE;CIVICO;STAGIONE;AREA MQ;DO_Y;DO_X
1190;PEDANA RINGHIERA TAVOLINI PARAVENTI;COPERTURA NON DEFINITA;138;2011-11-16;2014-03-14;;Piazza della Repubblica;11 R;INVERNALE;138;43.7711333334489;11.2539922389336
1191;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;16;2011-11-16;2014-03-14;;Via di Ripoli;8 R;INVERNALE;16;43.7631698382377;11.2783897893692
1193;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;4;2011-11-16;2014-03-14;;Viale Donato Giannotti;52 R;INVERNALE;4;43.760516878995;11.2843762239273
1194;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;14;2011-07-29;2013-11-15;;Via Augusto Novelli;31/A;ESTIVO;14;43.7746663869057;11.296064564811
1196;PEDANA RINGHIERA TAVOLINI;NESSUNA;14;2011-11-16;2014-03-14;;Piazza delle Cure;8;INVERNALE;14;43.7863804657644;11.2690829697287
1197;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;14;2011-11-16;2014-03-14;;Viale Alessandro Guidoni;26/A;INVERNALE;14;43.7957787864434;11.2282278135966
1198;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;27;2011-11-16;2014-03-14;;Via Guido Biagi;6 R;INVERNALE;27;43.7732314727213;11.295587181452
1208;PEDANA RINGHIERA TAVOLINI;NESSUNA;6;2012-11-16;2015-03-14;;Borgo la Croce;73 R;INVERNALE;6;43.7713891071926;11.2676450046624
1236;PEDANA RINGHIERA TAVOLINI;COPERTURA NON DEFINITA;19;2012-11-16;2015-03-14;;Lungarno Soderini;7 R;INVERNALE;19;43.7697288782126;11.2465522537953
1247;TAVOLINI;NESSUNA;6;2012-11-16;2015-03-14;sotto i portici;Via Sant'Antonino;64 R;INVERNALE;6;43.7761408674669;11.2534811303652
1249;PEDANA RINGHIERA TAVOLINI;NESSUNA;16;2012-12-12;2015-03-14;;Piazzetta Piero Calamandrei;;INVERNALE;16;43.771482332895;11.2600515775459
127;PEDANA RINGHIERA TAVOLINI;NESSUNA;1;2012-11-16;2015-03-14;;Via Stracciatella;11 R;INVERNALE;1;43.7668824671188;11.2532201027073
127;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;10;2012-11-16;2015-03-14;;Via Stracciatella;7 R;INVERNALE;10;43.766869162564;11.253325619674
1272;TAVOLINI;NESSUNA;3;2012-11-20;2015-03-14;;Volta di San Piero;34 R;INVERNALE;3;43.7716221448189;11.2616349310463
132;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;8;2012-11-16;2015-03-14;;Borgo dei Greci;4 R;INVERNALE;8;43.7690583159771;11.2603772018478
147;PEDANA RINGHIERA TAVOLINI;NESSUNA;18;2012-11-16;2015-03-14;;Via dei Guicciardini;66 R;INVERNALE;18;43.7670379194303;11.2517064713695
157;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;17;2011-11-16;2014-03-14;;Viale Malta;5 R;INVERNALE;17;43.7767881433361;11.2797101025363
174;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;-;2011-11-16;2014-03-14;;Piazza della Signoria;31 R;INVERNALE;0;43.7699856909467;11.2564520528985
